state_name,species_code,common_name,scientific_name,percent_pop_breeding,percent_pop_postbreeding_migration,percent_pop_nonbreeding,percent_pop_prebreeding_migration,max_week_season,max_week,max_week_percent_pop,state_rank_breeding,breeding_habitat_primary,breeding_habitat_secondary
Washington,banswa,Bank Swallow,Riparia riparia,0.68,0.18,0,0.15,postbreeding_migration,06-28,1.423,3 of 28,Wetlands Aerial:  Lakes and Rivers,Open Country Aerial:  Habitat Mosaic
Washington,bargol,Barrow's Goldeneye,Bucephala islandica,0.5,1.13,1.69,0.79,postbreeding_migration,11-29,3.598,4 of 7,Wetlands:  Forested,Wetlands:  Lakes and Rivers
Washington,barswa,Barn Swallow,Hirundo rustica,0.16,0.07,0,0.02,breeding,06-14,0.1846,28 of 49,Open Country Aerial:  Habitat Mosaic,NA
Washington,batpig1,Band-tailed Pigeon,Patagioenas fasciata,5.45,4.02,0.04,2.34,postbreeding_migration,09-06,9.963,3 of 9,Forests:  Temperate Western,Forests:  Mesoamerican Highland
Washington,bcnher,Black-crowned Night Heron,Nycticorax nycticorax,0.01,0,0,0.01,breeding,07-12,0.01704,33 of 33,Wetlands:  Generalist,Coasts:  Saltmarsh
Washington,belkin1,Belted Kingfisher,Megaceryle alcyon,0.89,1.14,1.33,0.91,postbreeding_migration,11-22,1.707,15 of 48,Wetlands:  Generalist,NA
Washington,bewwre,Bewick's Wren,Thryomanes bewickii,1.41,0,2.09,0,unidentified,09-06,2.716,7 of 13,Aridlands:  Desert Scrub,Forests:  Temperate Western
Washington,bkbmag1,Black-billed Magpie,Pica hudsonia,3.1,3.1,3.1,3.1,resident,year round resident,NA,9 of 17,Open Country:  Habitat Mosaic,NA
Washington,bkbplo,Black-bellied Plover,Pluvialis squatarola,0.06,0.53,0.64,0.27,nonbreeding,12-27,1.429,13 of 17,Wetlands:  Tundra,Tundra:  Arctic
Washington,bkbwoo,Black-backed Woodpecker,Picoides arcticus,0.39,0.39,0.39,0.39,resident,year round resident,NA,5 of 15,Forests:  Boreal,Forests:  Temperate Western
Washington,bkcchi,Black-capped Chickadee,Poecile atricapillus,0.85,0.85,0.85,0.85,resident,year round resident,NA,15 of 35,Forests:  Temperate Generalist,NA
Washington,bkchum,Black-chinned Hummingbird,Archilochus alexandri,0.53,0.09,0,0.11,breeding,06-21,0.6336,8 of 13,Forests:  Temperate Western,Aridlands:  Desert Riparian
Washington,bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus,9.36,5.25,0,5.15,prebreeding_migration,06-07,9.692,3 of 15,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak
Washington,bknsti,Black-necked Stilt,Himantopus mexicanus,0.03,0.01,0,0.05,prebreeding_migration,04-26,0.1347,18 of 25,Wetlands:  Freshwater Marsh,NA
Washington,blkoys,Black Oystercatcher,Haematopus bachmani,3.89,3.89,3.89,3.89,resident,year round resident,NA,2 of 4,Coasts:  Rocky Intertidal,NA
Washington,blkpho,Black Phoebe,Sayornis nigricans,0,0,0.01,0,nonbreeding,01-18,0.01247,NA,Wetlands:  Generalist,NA
Washington,blksco2,Black Scoter,Melanitta americana,0,0.05,0.06,0.02,nonbreeding,01-04,0.1194,NA,Wetlands:  Tundra,NA
Washington,blkswi,Black Swift,Cypseloides niger,14.55,8.26,0,7.79,postbreeding_migration,09-06,37.17,1 of 8,Forest Aerial:  Temperate Western,Forests Aerial:  Mesoamerican Highland
Washington,blkter,Black Tern,Chlidonias niger,0.03,0.01,0,0.01,breeding,06-14,0.03612,18 of 23,Wetlands:  Freshwater Marsh,NA
Washington,blktur,Black Turnstone,Arenaria melanocephala,0,2.71,4.86,1.99,nonbreeding,03-01,9.344,NA,Coasts:  Tundra,Tundra:  Arctic
Washington,bnhcow,Brown-headed Cowbird,Molothrus ater,1.2,0.16,0.01,0.28,breeding,06-14,1.262,26 of 48,Open Country:  Habitat Mosaic,NA
Washington,boboli,Bobolink,Dolichonyx oryzivorus,0.02,0,0,0.01,breeding,06-07,0.03158,31 of 32,Grasslands:  Temperate,NA
